,s,p,o,source,support
0,it,elicit,mapping,heuristic,2
1,meta - learner,elicit,mapping,heuristic,1
2,benchmark ontology,demonstrate,methodology,heuristic,1
3,barrier,satisfy,user information need,heuristic,2
4,semantic search technology,acces,barrier,heuristic,2
5,structured data,satisfy,user information need,heuristic,2
6,semantic search technology,acces,structured data,heuristic,2
7,semantic relationships,relate,retrieval of the annotation,heuristic,1
8,retrieval of the annotation,relate,semantic relationships,heuristic,1
9,mpeg-7 based semantic annotation,prove,regular expression,heuristic,2
10,regular expression,relate,query expansion,heuristic,1
11,query expansion,relate,regular expression,heuristic,1
12,retrieval proces,prove,regular expression,heuristic,3
13,mpeg-7 based semantic annotation,prove,information retrieval technique,heuristic,2
14,mpeg-7 based semantic annotation,prove,query expansion,heuristic,2
15,retrieval proces,prove,information retrieval technique,heuristic,3
16,retrieval proces,prove,query expansion,heuristic,3
17,concept,relate,ontologies,heuristic,1
18,ontologies,relate,concept,heuristic,1
19,concept similarity,locate,semantic peer,heuristic,2
20,semantic distance,locate,semantic peer,heuristic,1
21,concept relevance overlay,locate,semantic peer,heuristic,2
22,concept relevance overlay,search,semantic relevance resource,heuristic,2
23,search request,search,semantic relevance resource,heuristic,2
24,semantic peer,search,semantic relevance resource,heuristic,1
25,search request,search,network traffic,heuristic,2
26,semantic peer,search,network traffic,heuristic,1
27,concept relevance overlay,relate,search request,heuristic,1
28,search request,relate,concept relevance overlay,heuristic,1
29,search request,rout,semantic peer,heuristic,1
30,metametadata,encapsulate,learning objects,heuristic,4
31,metametadata,encapsulate,ontologies,heuristic,3
32,metametadata,relate,ontological approach,heuristic,1
33,ontological approach,relate,metametadata,heuristic,2
34,it,elicit,mapping,openie,1
35,concept similarity,locate,semantic peer,openie,1
